UBERON_0000020	sense organ
UBERON_0000094	membrane organ
UBERON_0000171	respiration organ
UBERON_0000211	ligament
UBERON_0000955	brain
UBERON_0000997	mammalian vulva
UBERON_0001630	muscle organ
UBERON_0001987	placenta
UBERON_0002097	skin of body
UBERON_0002530	gland
UBERON_0003103	compound organ
UBERON_0003133	reproductive organ
UBERON_0004177	hemopoietic organ
UBERON_0004765	skeletal element
UBERON_0005057	immune organ
UBERON_0005174	dorsal region element
UBERON_0005177	trunk region element
UBERON_0005906	serous sac
UBERON_0007196	tracheobronchial tree
UBERON_0010001	cell cluster organ
UBERON_0013765	digestive system element
