#organ id 	 organ name 	 tissue id 	 tissue name 
UBERON_0000160	intestine	UBERON_0000059	large intestine
UBERON_0000160	intestine	UBERON_0000159	anal canal
UBERON_0000160	intestine	UBERON_0000160	intestine
UBERON_0000160	intestine	UBERON_0000168	proximal-distal subdivision of colon
UBERON_0000160	intestine	UBERON_0000314	cecum mucosa
UBERON_0000160	intestine	UBERON_0000317	colonic mucosa
UBERON_0000160	intestine	UBERON_0000320	duodenal mucosa
UBERON_0000160	intestine	UBERON_0000331	ileal mucosa
UBERON_0000160	intestine	UBERON_0000333	intestinal gland
UBERON_0000160	intestine	UBERON_0000397	colonic epithelium
UBERON_0000160	intestine	UBERON_0000399	jejunal mucosa
UBERON_0000160	intestine	UBERON_0000400	jejunal epithelium
UBERON_0000160	intestine	UBERON_0000569	ileocecal valve
UBERON_0000160	intestine	UBERON_0001052	rectum
UBERON_0000160	intestine	UBERON_0001073	ileocecal junction
UBERON_0000160	intestine	UBERON_0001153	caecum
UBERON_0000160	intestine	UBERON_0001154	vermiform appendix
UBERON_0000160	intestine	UBERON_0001155	colon
UBERON_0000160	intestine	UBERON_0001156	ascending colon
UBERON_0000160	intestine	UBERON_0001157	transverse colon
UBERON_0000160	intestine	UBERON_0001158	descending colon
UBERON_0000160	intestine	UBERON_0001159	sigmoid colon
UBERON_0000160	intestine	UBERON_0001168	wall of small intestine
UBERON_0000160	intestine	UBERON_0001169	wall of large intestine
UBERON_0000160	intestine	UBERON_0001170	mesentery of small intestine
UBERON_0000160	intestine	UBERON_0001204	mucosa of small intestine
UBERON_0000160	intestine	UBERON_0001205	submucosa of small intestine
UBERON_0000160	intestine	UBERON_0001206	serosa of small intestine
UBERON_0000160	intestine	UBERON_0001207	mucosa of large intestine
UBERON_0000160	intestine	UBERON_0001208	submucosa of large intestine
UBERON_0000160	intestine	UBERON_0001209	serosa of large intestine
UBERON_0000160	intestine	UBERON_0001210	muscularis mucosae of small intestine
UBERON_0000160	intestine	UBERON_0001211	Peyer's patch
UBERON_0000160	intestine	UBERON_0001213	intestinal villus
UBERON_0000160	intestine	UBERON_0001238	lamina propria of small intestine
UBERON_0000160	intestine	UBERON_0001239	muscularis mucosae of large intestine
UBERON_0000160	intestine	UBERON_0001240	muscularis mucosae of intestine
UBERON_0000160	intestine	UBERON_0001241	crypt of Lieberkuhn of small intestine
UBERON_0000160	intestine	UBERON_0001242	intestinal mucosa
UBERON_0000160	intestine	UBERON_0001243	serosa of intestine
UBERON_0000160	intestine	UBERON_0001262	wall of intestine
UBERON_0000160	intestine	UBERON_0001277	intestinal epithelium
UBERON_0000160	intestine	UBERON_0001278	epithelium of large intestine
UBERON_0000160	intestine	UBERON_0001357	inferior rectal artery
UBERON_0000160	intestine	UBERON_0001902	epithelium of small intestine
UBERON_0000160	intestine	UBERON_0001983	crypt of Lieberkuhn
UBERON_0000160	intestine	UBERON_0001984	crypt of Lieberkuhn of large intestine
UBERON_0000160	intestine	UBERON_0002108	small intestine
UBERON_0000160	intestine	UBERON_0002115	jejunum
UBERON_0000160	intestine	UBERON_0002116	ileum
UBERON_0000160	intestine	UBERON_0002439	myenteric nerve plexus
UBERON_0000160	intestine	UBERON_0003329	submucosa of anal canal
UBERON_0000160	intestine	UBERON_0003330	submucosa of rectum
UBERON_0000160	intestine	UBERON_0003331	submucosa of colon
UBERON_0000160	intestine	UBERON_0003332	submucosa of duodenum
UBERON_0000160	intestine	UBERON_0003333	submucosa of jejunum
UBERON_0000160	intestine	UBERON_0003334	serosa of rectum
UBERON_0000160	intestine	UBERON_0003335	serosa of colon
UBERON_0000160	intestine	UBERON_0003336	serosa of duodenum
UBERON_0000160	intestine	UBERON_0003337	serosa of jejunum
UBERON_0000160	intestine	UBERON_0003342	mucosa of anal canal
UBERON_0000160	intestine	UBERON_0003346	mucosa of rectum
UBERON_0000160	intestine	UBERON_0003354	epithelium of rectum
UBERON_0000160	intestine	UBERON_0003395	mesentery of rectum
UBERON_0000160	intestine	UBERON_0003396	mesentery of colon
UBERON_0000160	intestine	UBERON_0003397	mesentery of duodenum
UBERON_0000160	intestine	UBERON_0003398	mesentery of jejunum
UBERON_0000160	intestine	UBERON_0003453	large intestine Peyer's patch
UBERON_0000160	intestine	UBERON_0003454	small intestine Peyer's patch
UBERON_0000160	intestine	UBERON_0003705	Meckel's diverticulum
UBERON_0000160	intestine	UBERON_0004220	large intestine smooth muscle
UBERON_0000160	intestine	UBERON_0004221	intestine smooth muscle
UBERON_0000160	intestine	UBERON_0004239	small intestine smooth muscle
UBERON_0000160	intestine	UBERON_0004693	Peyer's patch epithelium
UBERON_0000160	intestine	UBERON_0004697	Peyer's patch germinal center
UBERON_0000160	intestine	UBERON_0004757	rectal salt gland
UBERON_0000160	intestine	UBERON_0004760	gland of anal canal
UBERON_0000160	intestine	UBERON_0004913	hepatopancreatic ampulla
UBERON_0000160	intestine	UBERON_0004914	duodenal papilla
UBERON_0000160	intestine	UBERON_0004915	sphincter of hepatopancreatic ampulla
UBERON_0000160	intestine	UBERON_0004927	submucosa of cecum
UBERON_0000160	intestine	UBERON_0004928	submucosa of appendix
UBERON_0000160	intestine	UBERON_0004929	submucosa of ascending colon
UBERON_0000160	intestine	UBERON_0004930	submucosa of transverse colon
UBERON_0000160	intestine	UBERON_0004931	submucosa of descending colon
UBERON_0000160	intestine	UBERON_0004932	submucosa of sigmoid colon
UBERON_0000160	intestine	UBERON_0004946	submucosa of ileum
UBERON_0000160	intestine	UBERON_0004989	mucosa of appendix
